Month,Yield Portfolio,Growth Portfolio,YOLO Portfolio,Index Portfolio,ROTH IRA,Tesla,Savings
01/23,695.0,19112.94,776.0,7028.35,0.0,0.0,0.0
02/23,683.4,19641.64,1622.57,7095.78,0.0,0.0,901.01
03/23,728.19,22254.43,1696.98,7201.3,0.0,0.0,953.38
04/23,702.78,21753.85,1750.77,7092.33,0.0,0.0,1076.90
05/23,705.44,23153.43,1881.68,7179.99,0.0,0.0,1080.16
06/23,720.06,25764.19,2158.14,8018.35,0.0,0.0,1083.68
07/23,843.28,28487.97,2494.78,8410.5,0.0,0.0,2090.19
08/23,779.44,26925.07,2237.58,7932.08,0.0,0.0,1807.38
09/23,847.88,26097.37,1979.56,7500.43,50.01,0.0,1813.78
10/23,1050.87,25382.62,1735.54,7183.39,153.88,0.0,1820.00
11/23,1193.52,26996.73,2156.61,7927.47,0.0,0.0,1606.07
12/23,1317.18,28999.05,2470.66,8575.42,187.47,0.0,1611.57
01/24,1140.29,29443.84,2452.46,8468.42,1523.55,0.0,1947.63
02/24,1219.47,34121.74,2715.53,8901.6,1712.42,0.0,2555.56
03/24,1297.58,34249.25,2764.34,9207.29,1830.29,1647.16,1415.67
04/24,1233.35,33050.09,2458.95,8848.55,1623.04,1898.25,1370.68
05/24,1194.41,34556.56,2555.47,9305.7,1843.02,2149.34,1375.32
06/24,1207.92,35742.74,2753.51,9506.41,2030.15,2403.52,979.08
07/24,1259.76,35964.96,2946.34,10026.21,2179.67,2660.81,1273.32
08/24,1288.95,36842.17,2799.8,10125.4,2209.84,2921.2,926.91
09/24,1309.29,39328.79,3087.36,10404.93,2351.04,3184.72,829.97
10/24,1261.23,39445.91,3020.94,10307.73,2261.48,3451.36,782.68
11/24,1256.35,43262.74,3873.69,11278.03,2757.04,3721.14,835.36
12/24,1211.44,44738.14,4016.31,10919.2,2620.98,3994.06,401.45
01/25,1242.55,48352.79,3773.85,11281.5,2811.73,4270.14,402.72
02/25,1198.88,42779.41,3044.7,10836.31,2495.32,4549.37,303.84
03/25,1065.36,37897.83,2625.5,10180.67,2075.51,4831.79,254.68
04/25,961.13,38192.54,2579.25,10064.28,2003.53,5117.38,317.52

