"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"7/10/2025","CHICKFILA MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($9.4)"
"7/10/2025","BERRY BLENDZ ROCHESTER","Capital One","Quicksilver","Fast Food & Convenience","No","No","($6.46)"
"7/7/2025","CHICKFILA MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($2.8)"
"7/7/2025","PWP NYTIMES DIS PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Subscriptions","No","No","($4.03)"
"7/6/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($3.75)"
"7/5/2025","DR MARY JOHNSON","Capital One","Quicksilver","Restaurants/Dining","No","No","($52.5)"
"7/4/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($15.07)"
"7/4/2025","GOOGLE GOOGLE ONE CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($9.99)"
"7/4/2025","ZENNI OPTICAL INC CA","Discover Credit Card - via Direct Web Access","3549","Vision","No","No","($30.34)"
"7/2/2025","LILSON HEALTH TE BILL.COM ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Medical","No","No","$3200"
"7/1/2025","GOOGLE CLOUD G.CO HELPPAY CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($2.56)"
"7/1/2025","PWP PLANET PRIVACYCOM","Online Access - via Direct Web Access","Checking Account","Clothing","No","No","($41.62)"
"6/30/2025","GOOGLE FI","Capital One","Quicksilver","Phone, Internet & Cable","No","No","($111.6)"
"6/28/2025","ALDI","Capital One","Quicksilver","Groceries","No","No","($5.04)"
"6/27/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($6.91)"
"6/27/2025","AMEX SEND ADD MONEY","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Groceries","No","No","($40)"
"6/26/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($11.02)"
"6/26/2025","SANTANDER BILLPAY ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Restaurants/Dining","No","No","($472.4)"
"6/23/2025","CUB FOODS INC","Capital One","Quicksilver","Groceries","No","No","($31.78)"
"6/23/2025","BERRY BLENDZ ROCHESTER","Capital One","Quicksilver","Fast Food & Convenience","No","No","($12.92)"
"6/21/2025","CUB FOODS INC","Capital One","Quicksilver","Groceries","No","No","($13.24)"
"6/20/2025","PHONE BILL","Online Access - via Direct Web Access","Checking Account","Phone, Internet & Cable","No","No","$60"
